date,expiration,ticker,underlying_price,option_type,strike,T_years,q,iv,option_price,moneyness_K_over_S,contractSize,r,r_cont
2025-03-13,2025-06-12,AAPL,209.168,C,167.33,0.249315,0.0,0.232622,43.5927,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,AAPL,209.168,C,188.25,0.249315,0.0,0.225872,24.4785,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,AAPL,209.168,C,230.08,0.249315,0.0,0.21482,2.8112,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,AAPL,209.168,C,251.0,0.249315,0.0,0.210197,0.4969,1.2,100,0.0386,0.03787365
2025-03-13,2025-06-12,AAPL,209.168,P,167.33,0.249315,0.0,0.232622,0.1821,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,AAPL,209.168,P,188.25,0.249315,0.0,0.225872,1.7913,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,AAPL,209.168,P,230.08,0.249315,0.0,0.21482,21.5609,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,AAPL,209.168,P,251.0,0.249315,0.0,0.210197,39.97,1.2,100,0.0386,0.03787365
2025-03-13,2025-09-11,AAPL,209.168,C,209.17,0.49863,0.0,0.209,14.172,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,AAPL,209.168,P,209.17,0.49863,0.0,0.209,10.399,1.0,100,0.0372,0.03652477
2025-03-13,2025-06-12,ABBV,207.8179,C,166.25,0.249315,0.07184,0.232622,39.7098,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,ABBV,207.8179,C,187.04,0.249315,0.07184,0.225872,21.218,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,ABBV,207.8179,C,207.82,0.249315,0.07184,0.22,8.1369,1.0,100,0.0386,0.03787365
2025-03-13,2025-06-12,ABBV,207.8179,P,166.25,0.249315,0.07184,0.232622,0.2685,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,ABBV,207.8179,P,187.04,0.249315,0.07184,0.225872,2.3713,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,ABBV,207.8179,P,207.82,0.249315,0.07184,0.22,9.8749,1.0,100,0.0386,0.03787365
2025-03-13,2025-09-11,ABBV,207.8179,C,228.6,0.49863,0.07184,0.204079,3.7768,1.1,100,0.0372,0.03652477
2025-03-13,2025-09-11,ABBV,207.8179,C,249.38,0.49863,0.07184,0.199688,1.0995,1.2,100,0.0372,0.03652477
2025-03-13,2025-09-11,ABBV,207.8179,P,228.6,0.49863,0.07184,0.204079,27.7458,1.1,100,0.0372,0.03652477
2025-03-13,2025-09-11,ABBV,207.8179,P,249.38,0.49863,0.07184,0.199688,45.4734,1.2,100,0.0372,0.03652477
2025-03-13,2025-06-12,AEP,102.4735,C,81.98,0.249315,0.0,0.232622,21.3533,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,AEP,102.4735,C,102.47,0.249315,0.0,0.22,4.9672,1.0,100,0.0386,0.03787365
2025-03-13,2025-06-12,AEP,102.4735,P,81.98,0.249315,0.0,0.232622,0.0893,0.8,100,0.0386,0.03787365
